Current Prices — End-of-Day, Wednesday 16th September 2026
Block trades on the pre-arranged board today:
NMB: 900,000 shares
TBL: 307,000 shares
VODA: 1,550,000 shares
IEACLC-ETF: 215,469 shares
Change (%) calculated from opening to closing price. Counters with no trades (EABL, JHL, KA, NMG, SWALA, USL, YETU) are omitted.

Ticker	Company	Sector	Last Price (TZS)	Change (%)	Volume	Turnover (TZS)
AFRIPRISE	African Pride	Commercial Services	600	–0.8%	394,056	237,313,280
CRDB	CRDB Bank	Banks & Finance	2,920	–0.7%	306,119	892,753,770
DCB	Dar es Salaam Community Bank	Banks & Finance	445	+2.3%	21,964	9,810,095
DSE	Dar es Salaam Stock Exchange	Commercial Services	6,350	–0.5%	252	1,601,950
JATU	Jatu Plc	Commercial Services	270	0.0%	4	1,000
KCB	KCB Group (cross-listed)	Banks & Finance	2,180	–1.8%	34,500	75,146,680
MBP	Maendeleo Bank	Banks & Finance	2,070	–1.0%	9,698	20,033,400
MCB	Mwanga Community Bank	Banks & Finance	395	+2.6%	29,526	11,721,915
MKCB	Mkamba Commercial Bank	Banks & Finance	3,650	0.0%	5,408	19,736,680
MUCOBA	Mucoba Bank	Banks & Finance	410	–6.8%	2,100	862,600
NICO	NICO Holdings	Banks & Finance	3,730	–1.1%	11,217	41,861,050
NMB	NMB Bank	Banks & Finance	2,150	–1.4%	1,560,725	3,457,830,210
PAL	Pal Holdings	Industrials	315	+3.3%	1,975	619,695
SWIS	Swissport Tanzania	Commercial Services	2,570	–3.0%	946	2,438,240
TBL	Tanzania Breweries	Industrials	9,970	0.0%	307,875	3,078,723,150
TCC	Tanga Cement	Industrials	13,450	+0.7%	982	13,213,900
TCCL	Tanzania Cigarette Company	Industrials	3,700	–5.1%	7,619	28,242,700
TOL	TOL Gases	Industrials	1,820	–4.2%	4,053	7,353,420
TPCC	Tanga Portland Cement	Industrials	5,710	–0.7%	3,384	19,337,860
TTP	Tatepa Public Limited Company	Commercial Services	420	–2.3%	310	130,200
VODA	Vodacom Tanzania	Commercial Services	1,190	+3.5%	1,886,813	2,259,310,470
